name,id,latitude,longitude,display_name,zone,total_lines,rail
Oval,191,51.4819,-0.113,NULL,2,1,0
Oxford Circus,192,51.515,-0.1415,Oxford<br />Circus,1,3,0
Paddington,193,51.5154,-0.1755,NULL,1,4,1
Park Royal,194,51.527,-0.2841,Park<br />Royal,3,1,0
Parsons Green,195,51.4753,-0.2011,Parsons<br />Green,2,1,0
Perivale,196,51.5366,-0.3232,NULL,4,1,0
Picadilly Circus,197,51.5098,-0.1342,Picadilly<br />Circus,1,2,0
Pimlico,198,51.4893,-0.1334,NULL,1,1,0
Pinner,199,51.5926,-0.3805,NULL,5,1,0
Plaistow,200,51.5313,0.0172,NULL,3,2,0
Poplar,201,51.5077,-0.0173,NULL,2,1,0
Preston Road,202,51.572,-0.2954,Preston<br />Road,4,1,0
Prince Regent,203,51.5093,0.0336,Prince<br />Regent,3,1,0
Pudding Mill Lane,204,51.5343,-0.0139,Pudding<br />Mill Lane,2.5,1,0
Putney Bridge,205,51.4682,-0.2089,Putney<br />Bridge,2,1,0
Queen's Park,206,51.5341,-0.2047,Queens<br />Park,2,1,1
Queensbury,207,51.5942,-0.2861,NULL,4,1,0
Queensway,208,51.5107,-0.1877,NULL,1,1,0
Ravenscourt Park,209,51.4942,-0.2359,Ravenscourt<br />Park,2,1,0
Rayners Lane,210,51.5753,-0.3714,Rayners<br />Lane,5,2,0
Redbridge,211,51.5763,0.0454,NULL,4,1,0
Regent's Park,212,51.5234,-0.1466,Regent's<br />Park,1,1,0
Richmond,213,51.4633,-0.3013,NULL,4,1,1
Rickmansworth,214,51.6404,-0.4733,NULL,7,1,0
Roding Valley,215,51.6171,0.0439,Roding<br />Valley,5,1,0
Rotherhithe,216,51.501,-0.0525,NULL,2,1,0
Royal Albert,217,51.5084,0.0465,Royal<br />Albert,3,1,0
Royal Oak,218,51.519,-0.188,Royal<br />Oak,2,1,0
Royal Victoria,219,51.5091,0.0181,Royal<br />Victoria,3,1,0
Ruislip,220,51.5715,-0.4213,NULL,6,2,0
Ruislip Gardens,221,51.5606,-0.4103,Ruislip<br />Gardens,5,1,0
Ruislip Manor,222,51.5732,-0.4125,Ruislip<br />Manor,6,2,0
Russell Square,223,51.523,-0.1244,Russell<br />Square,1,1,0
Seven Sisters,224,51.5822,-0.0749,Seven<br />Sisters,3,1,1
Shadwell,225,51.5117,-0.056,NULL,2,2,0
Shepherd's Bush (C),226,51.5046,-0.2187,Shepherd's<br />Bush,2,1,0
Shepherd's Bush (H),227,51.5058,-0.2265,Shepherd's<br />Bush,2,1,0
Shoreditch,228,51.5227,-0.0708,NULL,2,1,0
Sloane Square,229,51.4924,-0.1565,Sloane<br />Square,1,2,0
Snaresbrook,230,51.5808,0.0216,NULL,4,1,0
Southfields,231,51.4454,-0.2066,NULL,3,1,0
Southgate,232,51.6322,-0.128,NULL,4,1,0
Southwark,233,51.501,-0.1052,NULL,1,1,0
South Ealing,234,51.5011,-0.3072,South<br />Ealing,3,1,0
South Harrow,235,51.5646,-0.3521,South<br />Harrow,5,1,0
South Kensington,236,51.4941,-0.1738,South<br />Kensington,1,3,0
South Kenton,237,51.5701,-0.3081,South<br />Kenton,4,1,0
South Quay,238,51.5007,-0.0191,South<br />Quay,2,1,0
South Ruislip,239,51.5569,-0.3988,South<br />Ruislip,5,1,1
South Wimbledon,240,51.4154,-0.1919,South<br />Wimbledon,3.5,1,0
South Woodford,241,51.5917,0.0275,South<br />Woodford,4,1,0
Stamford Brook,242,51.495,-0.2459,Stamford<br />Brook,2,1,0
Stanmore,243,51.6194,-0.3028,NULL,5,1,0
Stepney Green,244,51.5221,-0.047,Stepney<br />Green,2,2,0
Stockwell,245,51.4723,-0.123,NULL,2,2,0
Stonebridge Park,246,51.5439,-0.2759,Stonebridge<br />Park,3,1,0
Stratford,247,51.5416,-0.0042,NULL,3,3,1
St. James's Park,248,51.4994,-0.1335,St. James's<br />Park,1,2,0
St. John's Wood,249,51.5347,-0.174,St. John's<br />Wood,2,1,0
St. Paul's,250,51.5146,-0.0973,St. Paul's,1,1,0
Sudbury Hill,251,51.5569,-0.3366,Sudbury<br />Hill,4,1,0
Sudbury Town,252,51.5507,-0.3156,Sudbury<br />Town,4,1,0
Surrey Quays,253,51.4933,-0.0478,Surrey<br />Quays,2,1,0
Swiss Cottage,254,51.5432,-0.1738,Swiss<br />Cottage,2,2,0
Temple,255,51.5111,-0.1141,NULL,1,2,0
Theydon Bois,256,51.6717,0.1033,Theydon<br />Bois,6,1,0
Tooting Bec,257,51.4361,-0.1598,Tooting<br />Bec,3,1,0
Tooting Broadway,258,51.4275,-0.168,Tooting<br />Broadway,3,1,0
Tottenham Court Road,259,51.5165,-0.131,Tottenham<br />Court<br />Road,1,2,0
Tottenham Hale,260,51.5882,-0.0594,Tottenham<br />Hale,3,1,1
Totteridge & Whetstone,261,51.6302,-0.1791,Totteridge<br />& Whetstone,4,1,0
Tower Gateway,262,51.5106,-0.0743,Tower<br />Gateway,1,1,0
Tower Hill,263,51.5098,-0.0766,Tower<br />Hill,1,2,0
Tufnell Park,264,51.5567,-0.1374,Tufnell<br />Park,2,1,0
Turnham Green,265,51.4951,-0.2547,Turnham<br />Green,2.5,2,0
Turnpike Lane,266,51.5904,-0.1028,Turnpike<br />Lane,3,1,0
Upminster,267,51.559,0.251,NULL,6,1,1
Upminster Bridge,268,51.5582,0.2343,Upminster<br />Bridge,6,1,0
Upney,269,51.5385,0.1014,NULL,4,1,0
Upton Park,270,51.5352,0.0343,Upton<br />Park,3,2,0
Uxbridge,271,51.5463,-0.4786,NULL,6,2,0
Vauxhall,272,51.4861,-0.1253,NULL,1.5,1,1
Victoria,273,51.4965,-0.1447,NULL,1,3,1
Walthamstow Central,274,51.583,-0.0195,Walthamstow<br />Central,3,1,1
Wanstead,275,51.5775,0.0288,NULL,4,1,0
Wapping,276,51.5043,-0.0558,NULL,2,1,0
Warren Street,277,51.5247,-0.1384,Warren<br />Street,1,2,0
Warwick Avenue,278,51.5235,-0.1835,Warwick<br />Avenue,2,1,0
Waterloo,279,51.5036,-0.1143,NULL,1,4,1
Watford,280,51.6573,-0.4177,NULL,8,1,0
Wembley Central,281,51.5519,-0.2963,Wembley<br />Central,4,1,1
Wembley Park,282,51.5635,-0.2795,Wembley<br />Park,4,2,0
Westbourne Park,283,51.521,-0.2011,Westbourne<br />Park,2,1,0
Westferry,284,51.5097,-0.0265,NULL,2,1,0
Westminster,285,51.501,-0.1254,NULL,1,3,0
West Acton,286,51.518,-0.2809,West<br />Acton,3,1,0
West Brompton,287,51.4872,-0.1953,West<br />Brompton,2,1,1
West Finchley,288,51.6095,-0.1883,West<br />Finchley,4,1,0
West Ham,289,51.5287,0.0056,West<br />Ham,3,3,1
West Hampstead,290,51.5469,-0.1906,West<br />Hampstead,2,1,1
West Harrow,291,51.5795,-0.3533,West<br />Harrow,5,1,0
West India Quay,292,51.507,-0.0203,West<br />India<br />Quay,2,1,0
West Kensington,293,51.4907,-0.2065,West<br />Kensington,2,1,0
West Ruislip,294,51.5696,-0.4376,West<br />Ruislip,6,1,1
Whitechapel,295,51.5194,-0.0612,NULL,2,3,0
White City,296,51.512,-0.2239,White<br />City,2,1,0
Willesden Green,297,51.5492,-0.2215,Willesden<br />Green,2.5,1,0
Willesden Junction,298,51.5326,-0.2478,Willesden<br />Junction,3,1,1
Wimbledon,299,51.4214,-0.2064,NULL,3,1,1
Wimbledon Park,300,51.4343,-0.1992,Wimbledon<br />Park,3,1,0
Woodford,301,51.607,0.0341,NULL,4,1,0
Woodside Park,302,51.6179,-0.1856,Woodside<br />Park,4,1,0
Wood Green,303,51.5975,-0.1097,Wood<br />Green,3,1,0
